#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5CFE
#Date Time: 2020-09-08 00:42:59.235
#Sample rate: 4e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 4 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 15.392 kHz
#Period: 64.968815 us
#Amplitude: 10 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0

Time (s),Channel 1 (V),Channel 2 (V)
-9.07E-05,-4.326604258,-4.8944172
-9.06E-05,-4.326604258,-4.8944172
-9.06E-05,-4.366890662,-4.8944172
-9.06E-05,-4.366890662,-4.8944172
-9.06E-05,-4.366890662,-4.8944172
-9.05E-05,-4.407177066,-4.8944172
-9.05E-05,-4.407177066,-4.934395902
-9.05E-05,-4.407177066,-4.934395902
-9.05E-05,-4.44746347,-4.934395902
-9.04E-05,-4.44746347,-4.934395902
-9.04E-05,-4.487749874,-4.934395902
-9.04E-05,-4.487749874,-4.934395902
-9.04E-05,-4.528036278,-4.934395902
-9.03E-05,-4.528036278,-4.934395902
-9.03E-05,-4.568322682,-4.934395902
-9.03E-05,-4.568322682,-4.934395902
-9.03E-05,-4.568322682,-4.934395902
-9.02E-05,-4.568322682,-4.934395902
-9.02E-05,-4.608609086,-4.934395902
-9.02E-05,-4.608609086,-4.934395902
-9.02E-05,-4.64889549,-4.934395902
-9.01E-05,-4.64889549,-4.934395902
-9.01E-05,-4.64889549,-4.974374603
-9.01E-05,-4.64889549,-4.934395902
-9.01E-05,-4.689181893,-4.974374603
-9.00E-05,-4.689181893,-4.934395902
-9.00E-05,-4.729468297,-4.974374603
-9.00E-05,-4.729468297,-4.934395902
-9.00E-05,-4.729468297,-4.974374603
-8.99E-05,-4.769754701,-4.974374603
-8.99E-05,-4.769754701,-4.974374603
-8.99E-05,-4.810041105,-4.974374603
-8.99E-05,-4.810041105,-4.974374603
-8.98E-05,-4.810041105,-4.974374603
-8.98E-05,-4.810041105,-4.974374603
-8.98E-05,-4.850327509,-4.974374603
-8.98E-05,-4.850327509,-4.974374603
-8.97E-05,-4.890613913,-4.974374603
-8.97E-05,-4.890613913,-4.974374603
-8.97E-05,-4.890613913,-4.974374603
-8.97E-05,-4.930900317,-5.014353305
-8.96E-05,-4.930900317,-4.974374603
-8.96E-05,-4.971186721,-5.014353305
-8.96E-05,-4.971186721,-4.974374603
-8.96E-05,-4.971186721,-4.974374603
-8.95E-05,-5.011473125,-5.014353305
-8.95E-05,-5.011473125,-5.014353305
-8.95E-05,-5.051759528,-5.014353305
-8.95E-05,-5.051759528,-5.014353305
-8.94E-05,-5.051759528,-5.014353305
-8.94E-05,-5.092045932,-5.014353305
-8.94E-05,-5.132332336,-5.014353305
-8.94E-05,-5.132332336,-5.054332006
-8.93E-05,-5.132332336,-5.014353305
-8.93E-05,-5.132332336,-5.014353305
-8.93E-05,-5.17261874,-5.054332006
-8.93E-05,-5.17261874,-5.054332006
-8.92E-05,-5.212905144,-5.054332006
-8.92E-05,-5.212905144,-5.054332006
-8.92E-05,-5.253191548,-5.054332006
-8.92E-05,-5.253191548,-5.054332006
-8.91E-05,-5.293477952,-5.014353305
-8.91E-05,-5.293477952,-5.054332006
-8.91E-05,-5.293477952,-5.054332006
-8.91E-05,-5.333764356,-5.054332006
-8.90E-05,-5.333764356,-5.054332006
-8.90E-05,-5.333764356,-5.014353305
-8.90E-05,-5.333764356,-5.014353305
-8.90E-05,-5.37405076,-5.054332006
-8.89E-05,-5.37405076,-5.054332006
-8.89E-05,-5.414337164,-5.054332006
-8.89E-05,-5.414337164,-5.054332006
-8.89E-05,-5.454623567,-5.054332006
-8.88E-05,-5.454623567,-5.054332006
-8.88E-05,-5.494909971,-5.054332006
-8.88E-05,-5.494909971,-5.054332006
-8.88E-05,-5.494909971,-5.054332006
-8.87E-05,-5.494909971,-5.054332006
-8.87E-05,-5.535196375,-5.054332006
-8.87E-05,-5.575482779,-5.094310708
-8.87E-05,-5.575482779,-5.094310708
-8.86E-05,-5.575482779,-5.054332006
-8.86E-05,-5.615769183,-5.054332006
-8.86E-05,-5.615769183,-5.094310708
